Model,Val Accuracy,Val AUC-ROC,PR-AUC,Precision,Recall,F1-Score,PR-AUC Baseline,PR-AUC Lift,Top-7 AvgCaught,Top-7 Expected,Top-7 Lift,Top-7 HitRate,Val Draws,Calibration Error,Overfit Gap (AUC),Optimal Threshold
Conservative Pool Generator,0.20567375886524822,0.5226498015873017,0.15656326329498257,0.15107361963190183,0.9380952380952381,0.26023778071334214,0.14893617021276595,1.0512104821234545,1.0666666666666667,1.0425531914893618,1.0231292517006803,0.7333333333333333,60,0.014668974241614318,0.03055915478936666,0.13317745687998137
Complexity Explorer,0.1574468085106383,0.5207916666666667,0.16022045394974238,0.14769452449567724,0.9761904761904762,0.2565707133917397,0.14893617021276595,1.0757659050911275,1.1333333333333333,1.0425531914893618,1.0870748299319728,0.7666666666666667,60,0.017684111057246422,0.03353533840006595,0.11841041098038356
Momentum Specialist,0.16808510638297872,0.48630952380952386,0.14560303340543762,0.1430689399555226,0.919047619047619,0.24759461193072482,0.14893617021276595,0.9776203671507955,0.95,1.0425531914893618,0.9112244897959183,0.7,60,0.011852276577857599,0.028487992255725736,0.14766771655536115
Jackpot Optimizer - 6-Ball Main Prize Specialist,0.16312056737588654,0.5181498419150858,0.14043822900245417,0.12852897473997027,0.9611111111111111,0.22673656618610746,0.1276595744680851,1.1000994605192245,0.9166666666666666,0.8936170212765957,1.0257936507936507,0.6333333333333333,60,0.016902537132440814,0.08380269627379078,0.10817368522901503
Bonus Ball Predictor,0.4397163120567376,0.5253442028985507,0.038749452128821034,0.021410579345088162,0.5666666666666667,0.0412621359223301,0.02127659574468085,1.8212242500545885,0.11666666666666667,0.14893617021276592,0.7833333333333335,0.11666666666666667,60,0.005286462562247734,0.02675561656887837,0.022435119106294032
Bonus-to-Main Transition Predictor,0.8257839721254355,0.5213507625272331,0.15369327384529288,0.25,0.020833333333333332,0.038461538461538464,0.14886164623467601,1.032457169007791,1.0333333333333334,1.0376851851851852,0.9958061925582227,0.6333333333333333,60,0.08673850740529984,0.010928536427842639,0.07128372655777375
